iter	Passed	Remaining
0	5	2639
1	10	2601
2	15	2608
3	20	2557
4	25	2539
5	30	2521
6	35	2500
7	40	2492
8	45	2473
9	50	2475
10	55	2486
11	60	2477
12	65	2465
13	70	2462
14	75	2453
15	80	2448
16	86	2454
17	91	2451
18	97	2458
19	102	2452
20	107	2447
21	112	2440
22	117	2439
23	122	2430
24	127	2424
25	132	2423
26	137	2414
27	142	2409
28	148	2406
29	153	2410
30	158	2403
31	163	2396
32	168	2391
33	173	2382
34	178	2371
35	183	2364
36	188	2359
37	193	2355
38	198	2349
39	203	2341
40	208	2335
41	213	2329
42	218	2324
43	223	2317
44	228	2310
45	233	2306
46	238	2301
47	243	2295
48	249	2294
49	254	2290
50	259	2286
51	264	2282
52	269	2273
53	274	2268
54	279	2263
55	284	2255
56	289	2249
57	294	2243
58	299	2239
59	304	2233
60	309	2227
61	314	2224
62	319	2218
63	324	2213
64	330	2211
65	335	2206
66	341	2204
67	346	2200
68	351	2198
69	356	2192
70	362	2188
71	367	2183
72	372	2178
73	377	2172
74	382	2168
75	387	2161
76	392	2155
77	397	2151
78	402	2145
79	407	2140
80	412	2135
81	417	2130
82	422	2124
83	427	2117
84	432	2112
85	437	2107
86	442	2100
87	448	2097
88	453	2093
89	458	2088
90	463	2082
91	468	2076
92	472	2069
93	477	2064
94	482	2058
95	487	2053
96	493	2048
97	498	2044
98	503	2039
99	508	2034
100	513	2028
101	518	2023
102	523	2017
103	528	2012
104	533	2006
105	538	2001
106	543	1995
107	548	1991
108	553	1986
109	558	1981
110	563	1975
111	568	1970
112	573	1964
113	578	1959
114	583	1953
115	588	1949
116	593	1944
117	598	1938
118	603	1933
119	608	1927
120	613	1922
121	618	1917
122	624	1915
123	629	1909
124	634	1903
125	639	1898
126	644	1894
127	650	1889
128	655	1884
129	660	1879
130	665	1873
131	670	1868
132	675	1863
133	680	1857
134	684	1852
135	689	1846
136	694	1841
137	699	1835
138	705	1830
139	710	1825
140	715	1820
141	720	1815
142	724	1809
143	729	1804
144	735	1800
145	740	1795
146	746	1792
147	751	1787
148	756	1782
149	762	1778
150	767	1773
151	771	1767
152	776	1762
153	782	1757
154	786	1751
155	791	1746
156	796	1740
157	801	1735
158	806	1729
159	811	1724
160	816	1718
161	821	1713
162	826	1708
163	831	1703
164	836	1697
165	841	1693
166	847	1689
167	852	1684
168	857	1680
169	862	1675
170	867	1669
171	873	1664
172	878	1660
173	883	1655
174	888	1650
175	893	1644
176	898	1639
177	903	1634
178	908	1628
179	912	1622
180	918	1618
181	923	1613
182	928	1607
183	933	1602
184	938	1597
185	943	1593
186	948	1588
187	953	1583
188	959	1578
189	963	1572
190	969	1567
191	974	1562
192	979	1557
193	984	1552
194	989	1546
195	994	1541
196	999	1537
197	1004	1531
198	1009	1526
199	1014	1521
200	1019	1516
201	1024	1511
202	1028	1505
203	1034	1500
204	1039	1495
205	1044	1490
206	1049	1485
207	1054	1480
208	1060	1475
209	1065	1471
210	1070	1465
211	1075	1460
212	1080	1455
213	1085	1450
214	1090	1445
215	1095	1440
216	1100	1434
217	1105	1429
218	1110	1424
219	1115	1419
220	1120	1414
221	1125	1409
222	1130	1404
223	1135	1399
224	1141	1394
225	1146	1389
226	1150	1384
227	1156	1379
228	1161	1374
229	1166	1369
230	1171	1364
231	1176	1359
232	1181	1354
233	1186	1349
234	1191	1344
235	1196	1339
236	1201	1333
237	1206	1328
238	1211	1323
239	1216	1318
240	1221	1313
241	1226	1307
242	1231	1302
243	1237	1298
244	1242	1292
245	1247	1287
246	1252	1282
247	1257	1278
248	1262	1272
249	1267	1267
250	1273	1262
251	1277	1257
252	1283	1252
253	1288	1247
254	1293	1242
255	1298	1237
256	1303	1232
257	1308	1226
258	1313	1222
259	1318	1217
260	1323	1211
261	1328	1207
262	1333	1202
263	1338	1196
264	1344	1191
265	1348	1186
266	1354	1182
267	1359	1177
268	1365	1172
269	1370	1167
270	1375	1162
271	1381	1157
272	1386	1152
273	1391	1147
274	1395	1142
275	1400	1136
276	1405	1131
277	1410	1126
278	1415	1121
279	1420	1116
280	1425	1111
281	1430	1106
282	1436	1101
283	1441	1095
284	1446	1091
285	1451	1086
286	1457	1081
287	1462	1076
288	1467	1071
289	1472	1066
290	1477	1060
291	1482	1055
292	1487	1050
293	1492	1045
294	1497	1040
295	1502	1035
296	1507	1030
297	1512	1025
298	1517	1019
299	1522	1014
300	1527	1009
301	1532	1004
302	1537	999
303	1542	994
304	1547	989
305	1553	984
306	1558	979
307	1563	974
308	1568	969
309	1573	964
310	1578	959
311	1583	954
312	1588	948
313	1593	944
314	1598	939
315	1603	933
316	1608	928
317	1613	923
318	1618	918
319	1624	913
320	1628	908
321	1633	903
322	1639	898
323	1644	893
324	1649	888
325	1654	883
326	1659	878
327	1664	873
328	1669	867
329	1674	862
330	1679	857
331	1685	852
332	1689	847
333	1695	842
334	1699	837
335	1705	832
336	1710	827
337	1716	822
338	1720	817
339	1725	812
340	1730	807
341	1735	801
342	1740	796
343	1745	791
344	1751	787
345	1756	781
346	1761	776
347	1766	771
348	1771	766
349	1777	761
350	1782	756
351	1787	751
352	1791	746
353	1796	741
354	1801	735
355	1807	730
356	1812	725
357	1817	720
358	1822	715
359	1827	710
360	1832	705
361	1837	700
362	1843	695
363	1848	690
364	1853	685
365	1858	680
366	1863	675
367	1868	670
368	1873	665
369	1878	660
370	1883	654
371	1888	649
372	1893	644
373	1898	639
374	1903	634
375	1909	629
376	1915	624
377	1920	619
378	1925	614
379	1930	609
380	1934	604
381	1940	599
382	1945	594
383	1950	589
384	1955	584
385	1959	578
386	1964	573
387	1969	568
388	1974	563
389	1979	558
390	1984	553
391	1989	548
392	1994	543
393	2000	538
394	2005	533
395	2010	528
396	2015	522
397	2020	517
398	2024	512
399	2030	507
400	2034	502
401	2040	497
402	2046	492
403	2051	487
404	2056	482
405	2061	477
406	2066	472
407	2072	467
408	2077	462
409	2082	457
410	2088	452
411	2093	447
412	2098	441
413	2103	436
414	2108	431
415	2113	426
416	2118	421
417	2123	416
418	2128	411
419	2133	406
420	2139	401
421	2144	396
422	2149	391
423	2154	386
424	2159	381
425	2165	376
426	2169	370
427	2175	365
428	2179	360
429	2184	355
430	2189	350
431	2194	345
432	2199	340
433	2205	335
434	2210	330
435	2215	325
436	2220	320
437	2225	315
438	2230	309
439	2235	304
440	2240	299
441	2245	294
442	2250	289
443	2255	284
444	2260	279
445	2265	274
446	2270	269
447	2275	264
448	2280	259
449	2285	253
450	2290	248
451	2295	243
452	2301	238
453	2306	233
454	2311	228
455	2316	223
456	2321	218
457	2326	213
458	2331	208
459	2336	203
460	2342	198
461	2347	193
462	2352	187
463	2357	182
464	2362	177
465	2367	172
466	2372	167
467	2377	162
468	2382	157
469	2387	152
470	2392	147
471	2397	142
472	2402	137
473	2407	132
474	2412	126
475	2417	121
476	2422	116
477	2427	111
478	2433	106
479	2438	101
480	2443	96
481	2448	91
482	2453	86
483	2459	81
484	2464	76
485	2469	71
486	2474	66
487	2480	60
488	2484	55
489	2490	50
490	2495	45
491	2500	40
492	2505	35
493	2510	30
494	2515	25
495	2520	20
496	2525	15
497	2530	10
498	2535	5
499	2540	0
