lane,stage,fold,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,config_key,status,error,n_train,n_test,n_features,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,precision_macro,recall_weighted,recall_macro,roc_auc,pr_auc,sensitivity,specificity,ordinal_mae,adjacent_error_rate,distant_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,pmm,tvae,stacking,mayo_4class|drop_gt70_missing|none|pmm|tvae|stacking,ok,,252,126,47,0.3500997291758161,0.31746031746031744,0.2955808259729656,0.3031833095619611,0.36129822914769455,0.3367626120215528,0.31746031746031744,0.3500997291758161,,,,,1.0555555555555556,0.42857142857142855,0.25396825396825395,0.4782608695652174,0.125,0.20454545454545456,0.5925925925925926
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,pmm,tvae,catboost,mayo_4class|drop_gt70_missing|none|pmm|tvae|catboost,ok,,252,126,47,0.31554219733567557,0.35714285714285715,0.3241864245548844,0.2960372913946974,0.32679043839758126,0.3091856060606061,0.35714285714285715,0.31554219733567557,,,,,0.8809523809523809,0.4523809523809524,0.19047619047619047,0.13043478260869565,0.125,0.6363636363636364,0.37037037037037035
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,gain,none,rf,mayo_4class|drop_gt70_missing|none|gain|none|rf,ok,,126,126,47,0.3502060917142439,0.3888888888888889,0.3636684767951067,0.336509839045336,0.35562164221414805,0.3394894040385844,0.3888888888888889,0.3502060917142439,,,,,0.8492063492063492,0.4126984126984127,0.1984126984126984,0.08695652173913043,0.21875,0.6136363636363636,0.48148148148148145
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,gain,none,stacking,mayo_4class|drop_gt70_missing|none|gain|none|stacking,ok,,126,126,47,0.3851524758454106,0.36507936507936506,0.35843827721134935,0.36513663863822804,0.3774514850985439,0.36723370429252783,0.36507936507936506,0.3851524758454106,,,,,0.9365079365079365,0.40476190476190477,0.23015873015873015,0.391304347826087,0.34375,0.25,0.5555555555555556
strict,final_5x2,0,mayo_4class,all,none,mean,none,stacking,mayo_4class|all|none|mean|none|stacking,ok,,126,126,55,0.29646213036158686,0.2698412698412698,0.2463406052076003,0.25701970443349753,0.2909716818072613,0.2775196501611596,0.2698412698412698,0.29646213036158686,,,,,1.0793650793650793,0.47619047619047616,0.25396825396825395,0.2608695652173913,0.21875,0.11363636363636363,0.5925925925925926
strict,final_5x2,0,mayo_4class,all,none,mean,tvae,stacking,mayo_4class|all|none|mean|tvae|stacking,ok,,252,126,55,0.34642050029278293,0.30952380952380953,0.2608354681391567,0.28665256416116275,0.3366925090981695,0.3269689822755861,0.30952380952380953,0.34642050029278293,,,,,0.9841269841269841,0.46825396825396826,0.2222222222222222,0.30434782608695654,0.40625,0.045454545454545456,0.6296296296296297
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,pmm,none,rf,mayo_4class|drop_gt70_missing|none|pmm|none|rf,ok,,126,126,47,0.3454506569316352,0.38095238095238093,0.35434452788603005,0.33073294492415756,0.3490606647982847,0.33500129634430903,0.38095238095238093,0.3454506569316352,,,,,0.8650793650793651,0.4126984126984127,0.20634920634920634,0.13043478260869565,0.15625,0.6136363636363636,0.48148148148148145
strict,final_5x2,0,mayo_4class,all,none,mean,none,rf,mayo_4class|all|none|mean|none|rf,ok,,126,126,55,0.369051703630508,0.40476190476190477,0.3895179662971668,0.3634565994193404,0.38680014211774644,0.3699153055051422,0.40476190476190477,0.369051703630508,,,,,0.8809523809523809,0.3492063492063492,0.24603174603174602,0.17391304347826086,0.28125,0.6136363636363636,0.4074074074074074
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,mice,none,stacking,mayo_4class|drop_gt70_missing|none|mice|none|stacking,ok,,126,126,47,0.31038876079636946,0.2777777777777778,0.2513744679158213,0.2683583959899749,0.27777164256756093,0.2739351422387137,0.2777777777777778,0.31038876079636946,,,,,1.0634920634920635,0.49206349206349204,0.23015873015873015,0.34782608695652173,0.1875,0.11363636363636363,0.5925925925925926
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,mean,none,stacking,mayo_4class|drop_gt70_missing|none|mean|none|stacking,ok,,126,126,47,0.3084833845703411,0.29365079365079366,0.28544769631990724,0.2872988505747126,0.3107121053549625,0.29716117216117216,0.29365079365079366,0.3084833845703411,,,,,1.0396825396825398,0.46825396825396826,0.23809523809523808,0.2608695652173913,0.25,0.20454545454545456,0.5185185185185185
strict,final_5x2,0,mayo_4class,all,none,softimpute,tvae,stacking,mayo_4class|all|none|softimpute|tvae|stacking,ok,,252,126,55,0.35131317706045967,0.3492063492063492,0.34262125676894484,0.3392799631930067,0.35000000000000003,0.3424242424242424,0.3492063492063492,0.35131317706045967,,,,,0.9285714285714286,0.4444444444444444,0.20634920634920634,0.30434782608695654,0.21875,0.36363636363636365,0.5185185185185185
strict,final_5x2,0,mayo_4class,drop_gt70_missing,none,pmm,none,stacking,mayo_4class|drop_gt70_missing|none|pmm|none|stacking,ok,,126,126,47,0.3640355090762699,0.3333333333333333,0.3171185140722956,0.3328518907563025,0.3380095965461819,0.3345609294161123,0.3333333333333333,0.3640355090762699,,,,,0.9841269841269841,0.4365079365079365,0.23015873015873015,0.43478260869565216,0.34375,0.1590909090909091,0.5185185185185185
strict,final_5x2,0,mayo_4class,all,none,mean,none,catboost,mayo_4class|all|none|mean|none|catboost,ok,,126,126,55,0.359029607670912,0.3968253968253968,0.3845685216463205,0.356487617379458,0.38078231292517006,0.3619047619047619,0.3968253968253968,0.359029607670912,,,,,0.8968253968253969,0.373015873015873,0.23015873015873015,0.17391304347826086,0.375,0.5909090909090909,0.2962962962962963
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,pmm,tvae,stacking,mayo_4class|drop_gt70_missing|none|pmm|tvae|stacking,ok,,252,126,47,0.34618506493506496,0.29365079365079366,0.238192297088647,0.27246126720936337,0.20871087537754204,0.23512148512148512,0.29365079365079366,0.34618506493506496,,,,,1.126984126984127,0.3888888888888889,0.31746031746031744,0.5454545454545454,0.375,0.0,0.4642857142857143
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,pmm,tvae,catboost,mayo_4class|drop_gt70_missing|none|pmm|tvae|catboost,ok,,252,126,47,0.33867694805194803,0.35714285714285715,0.3591914258580925,0.3423076923076923,0.3626743626743627,0.3474967061923584,0.35714285714285715,0.33867694805194803,,,,,0.9126984126984127,0.42857142857142855,0.21428571428571427,0.18181818181818182,0.3125,0.4318181818181818,0.42857142857142855
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,gain,none,rf,mayo_4class|drop_gt70_missing|none|gain|none|rf,ok,,126,126,47,0.3149350649350649,0.36507936507936506,0.34261824413967057,0.3099214639495384,0.3723145614449962,0.3558591770548292,0.36507936507936506,0.3149350649350649,,,,,0.8650793650793651,0.4444444444444444,0.19047619047619047,0.13636363636363635,0.25,0.6590909090909091,0.21428571428571427
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,gain,none,stacking,mayo_4class|drop_gt70_missing|none|gain|none|stacking,ok,,126,126,47,0.2775974025974026,0.24603174603174602,0.22646788924685107,0.24097787013989364,0.2859231297365171,0.2725956179303035,0.24603174603174602,0.2775974025974026,,,,,1.2063492063492063,0.3888888888888889,0.36507936507936506,0.36363636363636365,0.25,0.06818181818181818,0.42857142857142855
strict,final_5x2,1,mayo_4class,all,none,mean,none,stacking,mayo_4class|all|none|mean|none|stacking,ok,,126,126,55,0.34659090909090906,0.30158730158730157,0.2749391998514805,0.29637426900584796,0.317139631856613,0.31352685050798257,0.30158730158730157,0.34659090909090906,,,,,1.1111111111111112,0.35714285714285715,0.3412698412698413,0.5454545454545454,0.25,0.09090909090909091,0.5
