lane,stage,fold,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,config_key,status,error,n_train,n_test,n_features,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,precision_macro,recall_weighted,recall_macro,roc_auc,pr_auc,sensitivity,specificity,ordinal_mae,adjacent_error_rate,distant_error_rate,recall_class_0,recall_class_1
strict,final_5x2,0,severity_binary,all,none,gain,random_over,balanced_rf,severity_binary|all|none|gain|random_over|balanced_rf,ok,,142,126,55,0.6736111111111112,0.6825396825396826,0.6817191596204262,0.6743344533471181,0.6812444312444311,0.6754158004158004,0.6825396825396826,0.6736111111111112,0.7265946502057613,0.7723618912059875,0.7361111111111112,0.6111111111111112,,,,0.6111111111111112,0.7361111111111112
strict,final_5x2,0,severity_binary,all,none,gain,smote,balanced_rf,severity_binary|all|none|gain|smote|balanced_rf,ok,,142,126,55,0.6736111111111112,0.6825396825396826,0.6817191596204262,0.6743344533471181,0.6812444312444311,0.6754158004158004,0.6825396825396826,0.6736111111111112,0.7145061728395061,0.7550541264656441,0.7361111111111112,0.6111111111111112,,,,0.6111111111111112,0.7361111111111112
strict,final_5x2,0,severity_binary,all,none,gain,random_over,rf_balanced,severity_binary|all|none|gain|random_over|rf_balanced,ok,,142,126,55,0.662037037037037,0.6746031746031746,0.6721648716826928,0.6633869811689581,0.6718791412668965,0.6669758812615956,0.6746031746031746,0.662037037037037,0.7304526748971193,0.7719672821900212,0.75,0.5740740740740741,,,,0.5740740740740741,0.75
strict,final_5x2,0,severity_binary,all,none,gain,smote,catboost_balanced,severity_binary|all|none|gain|smote|catboost_balanced,ok,,142,126,55,0.6365740740740742,0.6507936507936508,0.6475070028011205,0.6376470588235295,0.6472069597069597,0.6418269230769231,0.6507936507936508,0.6365740740740742,0.7155349794238683,0.7593822238799293,0.7361111111111112,0.5370370370370371,,,,0.5370370370370371,0.7361111111111112
strict,final_5x2,0,severity_binary,all,none,gain,adasyn,rf_balanced,severity_binary|all|none|gain|adasyn|rf_balanced,ok,,135,126,55,0.650462962962963,0.6587301587301587,0.6583122324018231,0.6507895584917821,0.6579773289517409,0.6512018609459809,0.6587301587301587,0.650462962962963,0.6990740740740741,0.7475240744045171,0.7083333333333334,0.5925925925925926,,,,0.5925925925925926,0.7083333333333334
strict,final_5x2,0,severity_binary,missing_indicators,none,mean,smote,rf_balanced,severity_binary|missing_indicators|none|mean|smote|rf_balanced,ok,,142,126,108,0.6875,0.6984126984126984,0.6966884466884466,0.6889293139293139,0.696390977443609,0.6918421052631579,0.6984126984126984,0.6875,0.7043467078189302,0.7365793171867397,0.7638888888888888,0.6111111111111112,,,,0.6111111111111112,0.7638888888888888
strict,final_5x2,0,severity_binary,all,none,gain,none,balanced_rf,severity_binary|all|none|gain|none|balanced_rf,ok,,126,126,55,0.7060185185185185,0.7142857142857143,0.7135472436583834,0.7069010080124063,0.7131719631719632,0.7081600831600832,0.7142857142857143,0.7060185185185185,0.7296810699588478,0.7672498580479562,0.7638888888888888,0.6481481481481481,,,,0.6481481481481481,0.7638888888888888
strict,final_5x2,0,severity_binary,drop_gt50_missing,none,gain,none,catboost_balanced,severity_binary|drop_gt50_missing|none|gain|none|catboost_balanced,ok,,126,126,43,0.6435185185185186,0.6587301587301587,0.6548142042208005,0.6447446069110222,0.6550344349967296,0.6502827901966065,0.6587301587301587,0.6435185185185186,0.7296810699588477,0.7590306856410509,0.75,0.5370370370370371,,,,0.5370370370370371,0.75
strict,final_5x2,0,severity_binary,missing_indicators,none,raw,none,catboost_balanced,severity_binary|missing_indicators|none|raw|none|catboost_balanced,ok,,126,126,108,0.6828703703703703,0.6984126984126984,0.6942857142857142,0.685,0.6959627329192547,0.6932065217391304,0.6984126984126984,0.6828703703703703,0.7011316872427983,0.7385594262290078,0.7916666666666666,0.5740740740740741,,,,0.5740740740740741,0.7916666666666666
strict,final_5x2,0,severity_binary,drop_gt50_missing,none,raw,none,catboost_balanced,severity_binary|drop_gt50_missing|none|raw|none|catboost_balanced,ok,,126,126,43,0.6689814814814814,0.6825396825396826,0.6795518207282913,0.6705882352941176,0.6797161172161172,0.6754807692307693,0.6825396825396826,0.6689814814814814,0.724022633744856,0.7535727919360506,0.7638888888888888,0.5740740740740741,,,,0.5740740740740741,0.7638888888888888
strict,final_5x2,0,severity_binary,all,none,gain,random_over,catboost_balanced,severity_binary|all|none|gain|random_over|catboost_balanced,ok,,142,126,55,0.6921296296296295,0.7063492063492064,0.7029796640969678,0.6943151268769261,0.7040898772652071,0.7011850255857797,0.7063492063492064,0.6921296296296295,0.73070987654321,0.7739053506709404,0.7916666666666666,0.5925925925925926,,,,0.5925925925925926,0.7916666666666666
strict,final_5x2,0,severity_binary,all,none,gain,smote,rf_balanced,severity_binary|all|none|gain|smote|rf_balanced,ok,,142,126,55,0.6736111111111112,0.6825396825396826,0.6817191596204262,0.6743344533471181,0.6812444312444311,0.6754158004158004,0.6825396825396826,0.6736111111111112,0.7037037037037037,0.7486859316106491,0.7361111111111112,0.6111111111111112,,,,0.6111111111111112,0.7361111111111112
