lane,stage,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,n_rows,n_success,n_folds,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,precision_macro_mean,precision_macro_std,recall_weighted_mean,recall_weighted_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,ordinal_mae_mean,ordinal_mae_std,adjacent_error_rate_mean,adjacent_error_rate_std,distant_error_rate_mean,distant_error_rate_std,n_train_mean,n_train_std,n_features_mean,n_features_std,recall_class_0_mean,recall_class_0_std,recall_class_1_mean,recall_class_1_std,recall_class_2_mean,recall_class_2_std,recall_class_3_mean,recall_class_3_std
strict,final_5x2,severity_binary,all,none,mean,none,balanced_rf,10,10,10,0.6720176530563855,0.032816358660483054,0.6761904761904762,0.0269270066666655,0.6757261599758941,0.02760565168409824,0.6701373281590307,0.030078414637573582,0.6795102605883213,0.031697438821111514,0.6725870433582037,0.03070367632816897,0.6761904761904762,0.0269270066666655,0.6720176530563855,0.032816358660483054,0.7102167903605697,0.03285118124277537,0.7591857770469741,0.031042791332534767,0.7005672926447575,0.040554604565164985,0.6434680134680135,0.08887067034329449,,,,,,,126.0,0.0,55.0,0.0,0.6434680134680135,0.08887067034329449,0.7005672926447575,0.040554604565164985,,,,
strict,final_5x2,severity_binary,all,none,gain,random_over,rf_balanced,10,10,10,0.6632319082847251,0.028057556760376988,0.6738095238095239,0.027859542046350806,0.6717368660397456,0.027849635319406547,0.664119620282721,0.028174401423372568,0.6720107738440053,0.02760105486370343,0.6674485510129929,0.02802623003097374,0.6738095238095239,0.027859542046350806,0.6632319082847251,0.028057556760376988,0.714302897914987,0.022312796761666063,0.7575709544955116,0.022148960054998272,0.7411776212832552,0.036442010491123805,0.5852861952861953,0.04250286659093162,,,,,,,143.0,1.0540925533894598,55.0,0.0,0.5852861952861953,0.04250286659093162,0.7411776212832552,0.036442010491123805,,,,
strict,final_5x2,severity_binary,drop_gt70_missing,none,mean,none,balanced_rf,10,10,10,0.661573244178878,0.03210353241296498,0.6650793650793652,0.028196640411585667,0.6651114398854476,0.02833171294819158,0.6597034820211174,0.03008885764295674,0.6686255842812077,0.03157738396318443,0.661369879729972,0.031216238975288108,0.6650793650793652,0.028196640411585667,0.661573244178878,0.03210353241296498,0.7080622869277017,0.03031641165362,0.7592788444267947,0.029103757854148527,0.6851330203442879,0.04053616389276893,0.638013468013468,0.076976345916831,,,,,,,126.0,0.0,47.4,0.5163977794943211,0.638013468013468,0.076976345916831,0.6851330203442879,0.04053616389276893,,,,
strict,final_5x2,severity_binary,drop_gt70_missing,none,mean,none,stacking,10,10,10,0.6610304334424053,0.04044357316053322,0.6634920634920635,0.034735762036338304,0.663573758667563,0.035366533652969226,0.6584285192351295,0.03776576349231141,0.6682239081728676,0.0397453070348224,0.6604409609991315,0.03888820217770865,0.6634920634920635,0.034735762036338304,0.6610304334424053,0.04044357316053322,0.7044252514714173,0.03772945476029796,0.7527307487101028,0.03670075425194394,0.6767410015649452,0.03627475977410936,0.6453198653198653,0.09318488249989897,,,,,,,126.0,0.0,47.4,0.5163977794943211,0.6453198653198653,0.09318488249989897,0.6767410015649452,0.03627475977410936,,,,
strict,final_5x2,severity_binary,all,none,mean,none,stacking,10,10,10,0.6603234812917911,0.03833381130639588,0.6626984126984128,0.034543822373546564,0.6628046693054811,0.03476422531685915,0.6577546682370538,0.03634459645128688,0.6675875885525089,0.0378070745612165,0.6599053976318048,0.037248831667205856,0.6626984126984128,0.034543822373546564,0.6603234812917911,0.03833381130639588,0.70638606987981,0.0379707617730252,0.7508877765640471,0.035741087165820945,0.675293427230047,0.047327686572731675,0.6453535353535353,0.08554309972515971,,,,,,,126.0,0.0,55.0,0.0,0.6453535353535353,0.08554309972515971,0.675293427230047,0.047327686572731675,,,,
strict,final_5x2,severity_binary,all,none,gain,smote,balanced_rf,10,10,10,0.6602341490017547,0.029482101941144534,0.6698412698412699,0.023123569717896437,0.6674492143156823,0.025955868996855862,0.6599203506983317,0.028691392370992184,0.6690955178768355,0.025891057356790242,0.6638103342294317,0.024759362802818003,0.6698412698412699,0.023123569717896437,0.6602341490017547,0.029482101941144534,0.7102379362218956,0.025432657034846158,0.7551109345231506,0.02629325031644008,0.7299295774647887,0.03489068498166023,0.5905387205387205,0.08357096343966533,,,,,,,143.0,1.0540925533894598,55.0,0.0,0.5905387205387205,0.08357096343966533,0.7299295774647887,0.03489068498166023,,,,
strict,final_5x2,severity_binary,drop_gt70_missing,none,pmm,random_over,balanced_rf,10,10,10,0.6590295561246265,0.02893610501096386,0.6666666666666667,0.02824623876198763,0.6651720022493645,0.028288475952996817,0.6584279728346846,0.029109674085730317,0.6676226108451607,0.02852319787593997,0.6619234915116172,0.029447467365534104,0.6666666666666667,0.02824623876198763,0.6590295561246265,0.02893610501096386,0.7086843460689314,0.030225203785755574,0.7625292756380987,0.03370541711076109,0.713008607198748,0.05979280758389922,0.6050505050505051,0.07115069356027696,,,,,,,143.0,1.0540925533894598,47.4,0.5163977794943211,0.6050505050505051,0.07115069356027696,0.713008607198748,0.05979280758389922,,,,
strict,final_5x2,severity_binary,drop_gt70_missing,none,pmm,adasyn,balanced_rf,10,10,10,0.6527872030160762,0.021887543544824375,0.6563492063492063,0.022772845731912537,0.6562301063169401,0.021839773820615725,0.6508545607296362,0.021319581990600477,0.6604514137053032,0.02346118328253359,0.6532938027966104,0.02346916147965059,0.6563492063492063,0.022772845731912537,0.6527872030160762,0.021887543544824375,0.7097647049524983,0.02815588428948606,0.7618878447570164,0.028586916735673335,0.6765845070422535,0.05969008006788939,0.628989898989899,0.06315072902581524,,,,,,,133.3,3.4009802508492535,47.4,0.5163977794943211,0.628989898989899,0.06315072902581524,0.6765845070422535,0.05969008006788939,,,,
strict,final_5x2,severity_binary,drop_gt70_missing,none,pmm,random_over,rf_balanced,10,10,10,0.6485117608004932,0.033234965473626595,0.6563492063492063,0.03197667538283984,0.6551280875493364,0.03217468568744486,0.648165879013713,0.03340786474034251,0.6566296390774385,0.03321563636548285,0.650651099880396,0.034382910802432984,0.6563492063492063,0.03197667538283984,0.6485117608004932,0.033234965473626595,0.7106183246128472,0.03063245297077115,0.7607382809541876,0.026487903918838613,0.7047339593114241,0.05124674606937035,0.5922895622895623,0.06667733176981622,,,,,,,143.0,1.0540925533894598,47.4,0.5163977794943211,0.5922895622895623,0.06667733176981622,0.7047339593114241,0.05124674606937035,,,,
strict,final_5x2,severity_binary,drop_gt70_missing,none,mice,adasyn,extra_trees,10,10,10,0.6477461232038697,0.04599102104429004,0.653968253968254,0.047941296465922933,0.6533276075114676,0.0469531864193738,0.6470668603099526,0.04674213621602069,0.6557406446486561,0.04627400090358791,0.6495316689993385,0.04780273743688991,0.653968253968254,0.047941296465922933,0.6477461232038697,0.04599102104429004,0.6989918354120233,0.04034269753675158,0.7473677879366318,0.037305313794666554,0.692057902973396,0.07512284981178113,0.6034343434343434,0.061062586178827115,,,,,,,132.6,3.8355066303046708,47.4,0.5163977794943211,0.6034343434343434,0.061062586178827115,0.692057902973396,0.07512284981178113,,,,
strict,final_5x2,severity_binary,all,none,mean,none,rf_balanced,10,10,10,0.6473608147199696,0.038511503553663375,0.6611111111111111,0.03450327796711774,0.6568545663707801,0.03653676312819717,0.6477007019038291,0.03902564133572798,0.6583084585750095,0.03633086787412522,0.6540311569622391,0.03703937598331273,0.6611111111111111,0.03450327796711774,0.6473608147199696,0.038511503553663375,0.7106460997560371,0.031913491773549525,0.7525861467750152,0.033106484468394703,0.7466744913928013,0.038232549269122736,0.548047138047138,0.07817686692859369,,,,,,,126.0,0.0,55.0,0.0,0.548047138047138,0.07817686692859369,0.7466744913928013,0.038232549269122736,,,,
strict,final_5x2,severity_binary,all,none,mean,none,catboost_balanced,10,10,10,0.6469870654905867,0.03833151392486449,0.6531746031746032,0.035305320625297884,0.652529525355062,0.03582742510689673,0.6460662161619645,0.037375480089553374,0.6544319375035179,0.03720741227861416,0.6477571925226505,0.037251936507238514,0.6531746031746032,0.035305320625297884,0.6469870654905867,0.03833151392486449,0.7018649194079554,0.042546275427022294,0.7498165689103686,0.03973765015540698,0.6907081377151799,0.044420824891264546,0.6032659932659933,0.07795225650782205,,,,,,,126.0,0.0,55.0,0.0,0.6032659932659933,0.07795225650782205,0.6907081377151799,0.044420824891264546,,,,
strict,final_5x2,severity_binary,all,none,gain,random_over,balanced_rf,10,10,10,0.6440906126997676,0.027910728272936208,0.6555555555555556,0.026770604530525974,0.6530670217917482,0.02723276928981064,0.6447947721772656,0.028103032315323757,0.6531665895110426,0.027375003241069125,0.6481855915501231,0.027929973834103526,0.6555555555555556,0.026770604530525974,0.6440906126997676,0.027910728272936208,0.7111788496598747,0.023043248110034418,0.7540081080326706,0.024785275828041235,0.7286189358372457,0.03163670330482348,0.5595622895622896,0.04625582695381229,,,,,,,143.0,1.0540925533894598,55.0,0.0,0.5595622895622896,0.04625582695381229,0.7286189358372457,0.03163670330482348,,,,
