lane,stage,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,n_rows,n_success,n_folds,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,precision_weighted_mean,precision_weighted_std,precision_macro_mean,precision_macro_std,recall_weighted_mean,recall_weighted_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,ordinal_mae_mean,ordinal_mae_std,adjacent_error_rate_mean,adjacent_error_rate_std,distant_error_rate_mean,distant_error_rate_std,n_train_mean,n_train_std,n_features_mean,n_features_std,recall_class_0_mean,recall_class_0_std,recall_class_1_mean,recall_class_1_std,recall_class_2_mean,recall_class_2_std,recall_class_3_mean,recall_class_3_std
strict,selection,severity_binary,drop_gt70_missing,none,mean,none,stacking,10,10,10,0.6951690550828482,0.06785017925398772,0.6942745098039216,0.0672724495486929,0.6944106649788634,0.06692688144940474,0.6907112232177328,0.06806355347144043,0.7032361290973206,0.06628662834767346,0.6950901909258687,0.06791633680215392,0.6942745098039216,0.0672724495486929,0.6951690550828482,0.06785017925398772,0.7192099567099567,0.05407191293390689,0.7584596295637296,0.056703284088810584,0.6890394088669951,0.08867802751635687,0.7012987012987013,0.10071074999373299,,,,,,,201.6,0.5163977794943222,47.0,0.0,0.7012987012987013,0.10071074999373299,0.6890394088669951,0.08867802751635687,,,,
strict,selection,severity_binary,all,none,gain,adasyn_tvae,rf,10,10,10,0.6891513658755037,0.06937912775566578,0.7004313725490195,0.06916785673006427,0.6977090799423032,0.06817234178715256,0.6902900318703977,0.07025017509239895,0.7018432475435223,0.07190807462200488,0.6986805696627535,0.07631001452216551,0.7004313725490195,0.06916785673006427,0.6891513658755037,0.06937912775566578,0.7144088669950739,0.06968060864124356,0.7483987491677222,0.0636184158077269,0.7692118226600986,0.09019846574772829,0.6090909090909091,0.09007034225662183,,,,,,,430.0,12.036980056845188,55.0,0.0,0.6090909090909091,0.09007034225662183,0.7692118226600986,0.09019846574772829,,,,
strict,selection,severity_binary,drop_gt70_missing,none,mice,adasyn_ctgan,rf,10,10,10,0.6875634423048217,0.037816363917629076,0.6905882352941177,0.039984618342057625,0.6906164314095247,0.03928837737482132,0.6857696691309483,0.039048089665597474,0.6944684823968693,0.036952198888826025,0.687882367578255,0.03860814730087001,0.6905882352941177,0.039984618342057625,0.6875634423048217,0.037816363917629076,0.7123525899387968,0.049866776720609206,0.7568750535579518,0.05633187253229332,0.7099753694581281,0.06853964312636325,0.6651515151515152,0.05683896410964445,,,,,,,427.2,7.495183638696105,47.0,0.0,0.6651515151515152,0.05683896410964445,0.7099753694581281,0.06853964312636325,,,,
strict,selection,severity_binary,drop_gt70_missing,none,softimpute,adasyn_ctgan,stacking,10,10,10,0.6870596357665323,0.03686313415025547,0.6845490196078432,0.03775185124772271,0.684179277139328,0.03625935723712692,0.6809651782754077,0.03632320149584872,0.6977361310750085,0.03862631578595363,0.6889745935327982,0.03970335573230904,0.6845490196078432,0.03775185124772271,0.6870596357665323,0.03686313415025547,0.6997779519331244,0.0609394210789822,0.7594802788880399,0.06491342608978096,0.6641625615763547,0.08392284629383044,0.70995670995671,0.09384503055181297,,,,,,,431.6,9.276014469827247,47.0,0.0,0.70995670995671,0.09384503055181297,0.6641625615763547,0.08392284629383044,,,,
strict,selection,severity_binary,drop_gt70_missing,none,mean,adasyn_ctgan,catboost,10,10,10,0.6861247947454844,0.05202578773137239,0.6865098039215687,0.05013653876282826,0.686329181508712,0.05023151313012317,0.6821488918871628,0.051186471193203555,0.6941988369743683,0.0505637818994202,0.6863512524730335,0.05066438053800153,0.6865098039215687,0.05013653876282826,0.6861247947454844,0.05202578773137239,0.7070290341842066,0.05800185848163029,0.7536439420008728,0.05506999734613185,0.6889162561576355,0.0739445167391203,0.6833333333333333,0.09818270255702644,,,,,,,429.2,5.5136195008360875,47.0,0.0,0.6833333333333333,0.09818270255702644,0.6889162561576355,0.0739445167391203,,,,
strict,selection,severity_binary,drop_gt70_missing,none,pmm,random_over,rf,10,10,10,0.684171144947007,0.07022076257904705,0.6903137254901961,0.07220209106355116,0.6884969526937368,0.07104598699428732,0.6827461111438973,0.07187606976492827,0.6958247664197954,0.07150083851115263,0.6907534398719688,0.07553618017596833,0.6903137254901961,0.07220209106355116,0.684171144947007,0.07022076257904705,0.7135579937304075,0.06565903386365982,0.7562191568170074,0.06948372686500015,0.7272167487684729,0.11561970648847962,0.6411255411255411,0.10156413713332867,,,,,,,228.8,1.0327955589886488,47.0,0.0,0.6411255411255411,0.10156413713332867,0.7272167487684729,0.11561970648847962,,,,
strict,selection,severity_binary,drop_gt70_missing,none,pmm,smote_ctgan,stacking,10,10,10,0.6840088072846694,0.0546983318815802,0.6884313725490196,0.05358847404420658,0.6878091482730706,0.05333539366255549,0.682387322516413,0.05429710562877995,0.691874189232703,0.05334546566772592,0.6856076097750361,0.05417347217695766,0.6884313725490196,0.05358847404420658,0.6840088072846694,0.0546983318815802,0.7115576951783849,0.05480201558742595,0.7588427618975656,0.057664990738882316,0.7165024630541872,0.0735024416130359,0.6515151515151515,0.08906954898707625,,,,,,,457.6,2.0655911179772977,47.0,0.0,0.6515151515151515,0.08906954898707625,0.7165024630541872,0.0735024416130359,,,,
strict,selection,severity_binary,all,none,gain,random_over,rf,10,10,10,0.6838166144200627,0.06128909823450907,0.6943529411764706,0.06343471788277853,0.6918163583805782,0.062001214049538,0.6846635294657567,0.06290691228160818,0.6961764945653718,0.06470930277217281,0.692725650997076,0.06899252012474405,0.6943529411764706,0.06343471788277853,0.6838166144200627,0.06128909823450907,0.7193592327213016,0.06563681456612185,0.7583872139543393,0.06853877961317745,0.7624384236453202,0.09365626574505616,0.6051948051948053,0.07037646891603615,,,,,,,228.8,1.0327955589886488,55.0,0.0,0.6051948051948053,0.07037646891603615,0.7624384236453202,0.09365626574505616,,,,
strict,selection,severity_binary,all,none,gain,smote,stacking,10,10,10,0.6828575160471713,0.07195524092188449,0.6944705882352941,0.0728306258076518,0.6912681757880125,0.07178382526890947,0.6836939890425819,0.07321093753880285,0.6958383322845207,0.07216068995069949,0.6926748452179903,0.07600818231504115,0.6944705882352941,0.0728306258076518,0.6828575160471713,0.07195524092188449,0.7261158381848036,0.062045422691137116,0.7676423852328843,0.06046460045967469,0.7698275862068965,0.09721431119970037,0.5958874458874459,0.08521684086809177,,,,,,,228.8,1.0327955589886488,55.0,0.0,0.5958874458874459,0.08521684086809177,0.7698275862068965,0.09721431119970037,,,,
strict,selection,severity_binary,all,none,gain,smote_ctgan,catboost,10,10,10,0.680713539334229,0.06977540956229861,0.6843921568627451,0.07099225938663314,0.6841171034293779,0.06973027058690418,0.6790214078291901,0.07052571689396629,0.689150481246517,0.06887362148694082,0.6827711225972095,0.07176178192432395,0.6843921568627451,0.07099225938663314,0.680713539334229,0.06977540956229861,0.7180922525750112,0.06907002472074836,0.767113427285208,0.06013116519998953,0.710344827586207,0.09682410503218924,0.651082251082251,0.08573906094637261,,,,,,,457.6,2.0655911179772977,55.0,0.0,0.651082251082251,0.08573906094637261,0.710344827586207,0.09682410503218924,,,,
